Customer ID,full_name,Age,Gender,City,Account_Type,Account_Balance,Date_Of_Account_Opening,Last_Transaction_Date,Transaction_Amount,Loan_Status,Credit_Limit,Credit_Card_Balance,Last_Credit_Card_Payment_Date,Rewards_Points
41,Charles_Williams,60,Other,Austin,Current,4767.41,2018-08-13,2023-02-15,739.94,Rejected,7976.79,2183.5,2023-11-24,1841
42,David_Martinez,66,Other,Kansas City,Current,3713.26,2015-10-29,2023-11-27,542.0,Closed,5660.53,202.41,2023-10-20,6292
43,Joshua_Flores,22,Other,Philadelphia,Current,4794.63,2006-06-23,2023-05-06,3786.14,Approved,7147.73,1185.11,2023-03-20,2095
44,Karen_Campbell,18,Other,Fresno,Current,5901.51,2010-03-21,2023-05-17,126.28,Approved,5391.71,2346.46,2023-01-09,2285
45,Patricia_Adams,20,Other,Mesa,Savings,7362.34,2001-05-03,2023-05-16,1933.57,Approved,6494.58,2906.73,2023-06-15,7103
46,Matthew_Smith,65,Other,Atlanta,Savings,9186.97,2005-06-02,2023-11-10,1986.21,Closed,5610.23,4383.34,2023-06-06,4173
47,Susan_Lewis,41,Other,San Francisco,Current,539.4,2005-12-11,2023-12-25,4466.28,Closed,9925.21,924.02,2023-10-23,722
48,Stephanie_Roberts,46,Male,Omaha,Current,5736.51,2012-06-20,2023-11-15,3874.71,Rejected,2867.41,1543.14,2023-06-23,5615
49,David_King,32,Female,Omaha,Current,7544.54,2021-01-30,2023-07-08,2558.28,Approved,9023.88,2786.09,2023-08-09,2212
50,Sandra_Gonzalez,21,Female,Fort Worth,Current,1243.99,2022-03-02,2023-05-23,2404.27,Closed,5180.67,1063.32,2023-06-23,2445
51,Mary_Smith,61,Other,Nashville,Current,9123.83,2021-09-07,2023-03-14,2832.35,Rejected,1226.63,4537.6,2023-04-02,61
52,Sarah_King,18,Other,Omaha,Current,2525.4,2015-10-25,2023-06-27,1795.56,Approved,9801.79,4369.68,2023-03-19,2757
53,Betty_Lewis,66,Male,Denver,Current,8349.99,2020-06-03,2023-12-16,3506.88,Rejected,8825.31,4434.35,2023-03-09,2042
54,Timothy_Mitchell,32,Other,Chicago,Savings,6653.87,2014-05-28,2023-08-14,3433.5,Approved,1662.19,3601.42,2023-06-16,4735
55,John_Campbell,41,Male,Seattle,Savings,5639.51,2013-01-24,2023-10-05,2877.53,Approved,4451.64,4981.24,2023-06-29,8927
56,Amanda_Gonzalez,69,Female,Denver,Savings,8705.5,2007-05-17,2023-08-26,297.89,Approved,8771.57,4130.99,2023-06-11,8261
57,Linda_Mitchell,48,Female,Philadelphia,Current,9695.42,2022-11-30,2023-04-04,642.92,Closed,5559.78,2479.94,2023-01-17,2928
58,Timothy_Carter,37,Other,Indianapolis,Savings,9971.6,2021-02-16,2023-11-26,205.99,Rejected,9315.29,3693.78,2023-04-26,5456
59,Andrew_Lewis,27,Male,San Diego,Current,6864.48,2012-09-05,2023-07-16,3595.39,Rejected,6365.93,479.28,2023-07-24,3616
60,Susan_Hill,28,Male,Seattle,Current,3457.4,2004-08-22,2023-03-05,2393.22,Closed,8287.3,4590.25,2023-07-09,9195
61,Thomas_White,35,Female,Colorado Springs,Current,8759.52,2009-01-06,2023-05-30,4775.36,Approved,5051.49,4920.85,2023-11-30,4132
62,Margaret_Sanchez,51,Female,Fort Worth,Savings,6578.05,2004-06-25,2023-05-21,4762.12,Approved,1834.47,4285.04,2023-07-31,8052
63,Stephanie_Taylor,45,Male,Jacksonville,Savings,3300.96,2007-12-15,2023-08-19,3992.87,Approved,3042.97,177.97,2023-10-06,130
64,Michelle_Miller,55,Male,San Antonio,Current,9330.41,2012-11-09,2023-09-02,2220.81,Rejected,2220.55,826.04,2023-03-09,2892
65,Patricia_Gonzalez,33,Female,New York,Savings,7501.74,2009-07-17,2023-10-30,1588.59,Rejected,8216.62,527.51,2023-11-08,1801
66,Mary_Jones,41,Male,Mesa,Savings,4583.0,2020-02-11,2023-12-13,1012.86,Rejected,9313.17,2128.26,2023-11-14,6734
67,Jennifer_Sanchez,56,Female,Nashville,Savings,4599.46,2016-10-04,2023-10-04,1170.15,Approved,3075.82,190.61,2023-09-30,466
68,Carol_Carter,68,Male,Atlanta,Savings,9959.69,2022-02-06,2023-01-31,4951.69,Approved,3895.3,4716.75,2023-06-04,6101
69,Patricia_Williams,29,Other,Las Vegas,Current,3799.72,2013-06-19,2023-02-07,2656.44,Approved,7657.6,2925.25,2023-02-22,71
70,Mark_Miller,67,Female,Boston,Current,1031.4,2020-05-29,2023-02-08,71.14,Rejected,4900.65,2837.64,2023-03-03,7405
71,Karen_Carter,59,Male,San Antonio,Savings,5431.76,2020-04-11,2023-06-13,231.02,Approved,8291.94,2230.04,2023-10-19,5695
72,Sandra_Hill,24,Female,San Francisco,Savings,8860.06,2002-12-25,2023-12-22,2299.24,Approved,3866.07,1689.29,2023-10-09,6865
73,Amanda_Smith,53,Male,Memphis,Savings,5886.75,2018-10-12,2023-09-24,2222.97,Closed,5748.09,2421.45,2023-10-01,257
74,Kimberly_Carter,34,Other,Baltimore,Current,7951.57,2010-09-29,2023-03-10,2033.74,Rejected,8505.91,2587.65,2023-07-25,7360
75,Elizabeth_Taylor,66,Other,San Antonio,Savings,643.16,2016-09-23,2023-10-17,4119.78,Rejected,4149.29,3478.89,2023-03-10,1339
76,Margaret_Nelson,21,Other,Tucson,Current,6766.61,2005-01-01,2023-08-17,3518.75,Rejected,6771.04,826.25,2023-02-06,5136
77,Susan_Harris,54,Female,San Antonio,Savings,884.02,2019-03-21,2023-09-18,546.01,Rejected,6816.02,2876.14,2023-08-01,1868
78,Donald_Williams,50,Other,Las Vegas,Savings,5607.93,2013-10-15,2023-01-20,1819.77,Closed,4167.36,2895.65,2023-02-02,2974
79,Deborah_Anderson,36,Female,Austin,Current,5027.9,2014-11-04,2023-03-04,2987.43,Closed,7692.29,1834.95,2023-01-20,9311
80,Joseph_Lewis,43,Other,Dallas,Current,9461.48,2002-02-24,2023-10-28,1918.62,Closed,5756.9,4821.45,2023-07-17,5682
81,Linda_Nelson,28,Female,Fort Worth,Current,1411.4,2018-10-06,2023-06-19,1049.44,Closed,6346.33,3725.51,2023-08-24,8898
82,Susan_Young,48,Other,Sacramento,Current,193.96,2010-10-11,2023-01-13,3143.98,Approved,4514.98,3553.84,2023-04-30,4919
83,Daniel_Sanchez,18,Male,Houston,Savings,1459.81,2008-05-16,2023-05-17,3015.22,Approved,1809.62,4365.64,2023-05-04,9222
84,Michelle_Thomas,57,Male,Mesa,Current,1789.99,2015-07-06,2023-08-12,4873.3,Closed,7285.15,1694.55,2023-07-11,6577
85,Charles_Harris,53,Female,Louisville,Current,2584.02,2010-01-10,2023-04-04,2809.74,Approved,4087.24,1063.35,2023-10-31,697
86,Jessica_Ramirez,46,Other,San Jose,Current,8169.38,2018-06-02,2023-06-26,4372.74,Rejected,6476.25,2191.43,2023-12-09,4225
87,Brian_Rodriguez,42,Other,El Paso,Savings,3831.12,2013-04-12,2023-12-14,4746.49,Approved,9170.78,2987.74,2023-12-16,8866
88,Karen_Smith,64,Male,Denver,Current,8423.5,2015-10-19,2023-12-23,2179.57,Approved,8514.73,2788.0,2023-04-13,7888
89,Timothy_Lewis,66,Other,Atlanta,Savings,2792.15,2021-07-02,2023-06-05,273.94,Approved,6663.31,1102.03,2023-03-21,4072
90,Nancy_Perez,35,Other,Colorado Springs,Savings,8619.36,2022-06-22,2023-05-01,726.04,Approved,3047.11,1343.47,2023-08-07,1434
91,Sandra_Thomas,20,Female,Las Vegas,Current,180.1,2016-11-25,2023-06-20,2524.81,Closed,5646.98,4628.69,2023-02-11,6763
92,Matthew_Green,35,Male,Indianapolis,Savings,9351.9,2022-03-12,2023-07-17,4465.86,Approved,4373.69,405.51,2023-11-30,1807
93,Brian_Baker,24,Other,Tucson,Current,7485.89,2002-11-29,2023-06-18,3274.12,Approved,6319.51,2520.25,2023-07-21,7430
94,Kenneth_Green,45,Other,Fort Worth,Savings,4186.03,2002-07-04,2023-06-21,1015.39,Rejected,7582.01,2373.34,2023-09-12,2695
95,Mark_Miller,34,Female,Fresno,Savings,5815.62,2004-08-18,2023-06-06,3508.21,Closed,7536.36,1916.85,2023-03-17,2170
96,Joseph_Wilson,42,Female,San Antonio,Current,9336.87,2016-12-24,2023-11-20,4472.15,Rejected,1512.66,3918.05,2023-12-26,1024
97,Brian_Lewis,35,Female,Austin,Current,5867.35,2008-03-24,2023-07-29,160.83,Approved,4355.01,4612.91,2023-11-17,2512
98,James_Jackson,69,Female,Milwaukee,Savings,2362.83,2013-12-21,2023-10-08,1221.63,Approved,4510.45,4986.37,2023-01-14,7899
99,Matthew_Jackson,57,Other,Memphis,Current,5771.45,2009-04-24,2023-07-15,774.37,Rejected,2685.39,613.7,2023-07-22,3175
100,John_Johnson,60,Other,San Jose,Current,8727.33,2004-10-15,2023-09-27,3922.67,Rejected,5380.02,214.28,2023-04-01,8789
101,David_Green,20,Other,Milwaukee,Savings,9875.75,2020-05-05,2023-07-06,4458.47,Approved,3511.78,1376.5,2023-09-23,9703
102,Nancy_Hall,42,Female,Los Angeles,Savings,5882.42,2003-10-09,2023-03-03,2777.24,Rejected,4126.54,3412.51,2023-07-12,31
103,James_Anderson,24,Other,Colorado Springs,Savings,1640.89,2021-06-30,2023-05-25,4242.53,Approved,6153.34,2022.65,2023-09-08,4147
104,Amanda_Williams,64,Male,Charlotte,Current,7740.35,2006-06-24,2023-08-14,3288.12,Approved,8627.02,2329.53,2023-03-20,7328
105,Linda_Hernandez,27,Male,Austin,Savings,9969.42,2013-03-09,2023-04-27,3286.93,Closed,4854.94,4997.11,2023-04-16,4710
106,Nancy_Rivera,61,Other,Fresno,Current,4789.0,2002-12-04,2023-07-25,2902.74,Rejected,5861.01,2456.68,2023-03-14,6998
107,William_Robinson,61,Female,Colorado Springs,Savings,3898.95,2021-12-03,2023-12-22,259.59,Closed,8157.08,4576.73,2023-04-19,7527
108,Thomas_Flores,68,Male,Houston,Current,5569.76,2006-08-06,2023-03-07,4685.52,Approved,4867.49,2058.35,2023-10-06,233
109,Linda_Moore,36,Other,Austin,Current,1731.19,2018-11-27,2023-10-28,1785.3,Closed,4475.64,2200.76,2023-09-26,3505
110,Andrew_Mitchell,32,Male,Memphis,Savings,9715.71,2015-04-12,2023-11-23,4014.86,Closed,6993.33,3857.36,2023-07-19,6390
111,Andrew_Johnson,38,Male,Los Angeles,Savings,8399.51,2011-03-26,2023-01-28,4051.82,Approved,3437.91,4507.25,2023-05-18,6264
112,Steven_Young,38,Male,Indianapolis,Current,1218.61,2014-09-22,2023-11-11,4829.15,Approved,1256.36,4064.69,2023-03-11,7027
113,Robert_Davis,54,Male,Colorado Springs,Savings,9456.31,2017-01-22,2023-09-21,1640.23,Closed,2209.7,2357.23,2023-05-20,2290
114,Carol_Perez,45,Other,San Jose,Savings,9433.91,2012-09-11,2023-08-09,4987.02,Closed,3479.44,3490.18,2023-05-17,4252
115,Joshua_Garcia,62,Male,Atlanta,Current,3231.91,2015-01-01,2023-01-10,1509.87,Rejected,8283.82,1318.87,2023-09-26,5608
116,Kenneth_Lopez,49,Other,San Francisco,Current,6229.51,2013-11-24,2023-10-04,2262.34,Closed,2894.62,385.92,2023-03-04,6192
117,Betty_Campbell,58,Male,Nashville,Savings,1196.47,2001-01-03,2023-10-18,3534.19,Rejected,6586.05,790.09,2023-04-30,2828
118,John_Flores,44,Male,Denver,Savings,933.49,2014-01-13,2023-01-04,783.39,Closed,3783.95,120.35,2023-10-17,4647
119,David_Scott,40,Male,San Antonio,Savings,5067.77,2013-01-26,2023-06-30,1339.2,Rejected,1529.45,2222.57,2023-06-04,1429
120,Linda_Anderson,27,Other,Kansas City,Savings,591.81,2006-08-30,2023-03-26,3643.29,Closed,8489.28,3278.29,2023-01-23,8769
121,Barbara_Ramirez,57,Male,San Diego,Savings,8761.43,2013-01-30,2023-01-25,4872.18,Approved,9401.57,167.13,2023-09-26,43
122,Kimberly_Carter,58,Male,San Jose,Current,9288.14,2001-01-30,2023-01-20,3666.67,Approved,2496.41,259.08,2023-12-18,9399
123,Steven_Hall,23,Female,Atlanta,Savings,766.33,2001-06-23,2023-07-18,4312.87,Closed,5587.79,2604.08,2023-11-19,9171
124,Deborah_Moore,41,Male,Los Angeles,Current,568.12,2007-04-21,2023-07-18,197.06,Closed,3590.78,4697.89,2023-04-24,6392
125,Daniel_Johnson,35,Female,Austin,Savings,2292.04,2003-03-16,2023-04-06,2889.36,Closed,5948.94,706.91,2023-06-10,150
126,Nancy_Gonzalez,27,Other,Las Vegas,Savings,9306.59,2003-07-31,2023-04-06,4571.32,Approved,7321.96,3392.53,2023-02-09,8470
127,Paul_Hall,32,Male,Philadelphia,Savings,7713.24,2018-06-06,2023-10-05,3415.16,Closed,9860.94,3272.27,2023-05-09,9401
128,Andrew_Anderson,62,Male,Detroit,Current,6797.33,2010-01-23,2023-02-18,3385.55,Approved,4135.25,1529.74,2023-10-17,6486
129,Amanda_Martin,60,Female,San Antonio,Savings,7785.84,2004-03-10,2023-03-30,1023.17,Closed,3290.08,379.47,2023-12-24,8687
130,Michelle_Lewis,51,Female,Colorado Springs,Current,2074.82,2004-02-06,2023-01-06,4307.09,Closed,7014.85,3045.93,2023-04-29,2220
131,Lisa_Adams,25,Male,Denver,Current,2640.22,2010-06-10,2023-05-26,4326.58,Closed,8587.19,2216.28,2023-05-31,8979
132,Anthony_Lewis,67,Other,Philadelphia,Savings,3244.52,2007-07-20,2023-01-12,3073.9,Approved,1251.09,1559.79,2023-12-28,8122
133,Andrew_Williams,52,Female,Memphis,Savings,6090.15,2012-10-15,2023-01-28,2138.82,Rejected,1390.08,3900.56,2023-04-08,987
134,James_Jackson,44,Male,Colorado Springs,Savings,6121.38,2013-09-09,2023-10-02,4123.12,Closed,6231.45,2024.65,2023-02-14,9179
135,Andrew_Williams,42,Female,Los Angeles,Savings,2165.22,2005-06-16,2023-02-12,2330.33,Approved,2174.01,3085.42,2023-08-15,1932
136,Paul_Wilson,20,Other,Denver,Current,4423.6,2001-06-05,2023-04-09,4114.85,Closed,6662.18,1281.2,2023-05-10,4718
137,Timothy_Flores,38,Female,Houston,Current,6931.2,2008-02-23,2023-05-23,2429.73,Approved,6093.49,391.53,2023-11-30,7801
138,Susan_Brown,56,Male,Philadelphia,Savings,3165.23,2020-07-07,2023-10-19,2903.17,Approved,8212.72,775.69,2023-12-20,8387
139,Michael_Hernandez,49,Female,Atlanta,Current,847.22,2020-11-05,2023-04-07,3742.63,Rejected,8175.18,1838.14,2023-01-11,6968
140,James_Walker,67,Other,Louisville,Savings,2054.16,2016-01-21,2023-03-26,1332.32,Closed,8492.02,3669.04,2023-10-16,4561
141,Robert_Nelson,38,Male,Baltimore,Current,1730.88,2013-04-04,2023-10-25,1241.76,Closed,9408.31,2928.2,2023-04-18,714
142,Sandra_Young,26,Male,San Antonio,Savings,6356.23,2003-03-02,2023-04-01,3342.53,Approved,6312.22,1881.02,2023-12-27,9063
143,Susan_Clark,67,Male,Dallas,Savings,778.63,2021-05-02,2023-10-28,4770.03,Closed,2303.07,2371.43,2023-09-27,6128
144,Joshua_Robinson,18,Male,Boston,Current,8859.02,2001-10-15,2023-01-30,2235.71,Rejected,9231.54,2908.31,2023-04-28,2160
145,Anthony_Nelson,21,Other,Tucson,Current,935.43,2007-02-21,2023-10-22,4492.03,Closed,9968.85,846.06,2023-10-30,8707
146,David_Johnson,21,Male,New York,Current,6019.31,2013-05-06,2023-06-23,2595.75,Approved,1346.18,1359.01,2023-09-21,358
147,Joseph_Carter,66,Other,Philadelphia,Savings,9302.37,2022-11-11,2023-07-05,4869.92,Approved,6418.03,1382.53,2023-05-22,2320
148,Joseph_Rodriguez,43,Other,Seattle,Current,717.99,2019-06-15,2023-01-30,3962.32,Approved,4367.88,515.22,2023-05-20,3981
149,Sandra_Ramirez,51,Female,Jacksonville,Savings,3892.74,2000-05-17,2023-09-08,4299.19,Closed,3733.76,998.89,2023-07-30,9159
150,Carol_Walker,44,Female,Louisville,Savings,3346.66,2001-06-16,2023-04-19,3401.22,Approved,7923.47,2796.43,2023-04-24,1150
151,Richard_King,32,Male,Austin,Savings,3507.67,2009-03-27,2023-08-01,4343.78,Approved,3712.46,1131.56,2023-12-19,3012
152,Emily_Anderson,62,Male,Tucson,Savings,6043.08,2018-10-31,2023-08-06,2968.06,Closed,2347.08,2909.99,2023-04-13,3935
153,Joshua_Mitchell,49,Other,New York,Current,2694.82,2008-08-11,2023-12-10,2841.01,Closed,3183.69,120.08,2023-09-06,3765
154,Ronald_Harris,58,Female,San Jose,Savings,370.5,2018-04-11,2023-07-01,4369.82,Approved,5836.36,869.04,2023-01-03,3920
155,Emily_Scott,24,Male,Atlanta,Savings,9626.52,2006-05-13,2023-12-08,85.18,Approved,3287.64,3057.75,2023-04-26,3507
156,Patricia_Davis,61,Male,Oklahoma City,Savings,7512.88,2016-07-04,2023-02-06,2399.11,Approved,4145.51,2922.09,2023-01-18,5639
157,Ashley_Rodriguez,61,Other,New York,Current,1437.76,2011-05-27,2023-12-12,4351.67,Approved,6173.4,1378.44,2023-10-07,7205
158,Paul_Torres,31,Female,Chicago,Current,4606.05,2003-03-21,2023-05-30,988.79,Rejected,7228.7,3116.28,2023-05-17,3106
159,Daniel_Mitchell,40,Male,Seattle,Current,720.95,2001-12-20,2023-04-07,4790.47,Rejected,1630.36,829.57,2023-10-04,5436
160,Joshua_Hall,64,Male,Columbus,Savings,375.78,2009-10-11,2023-01-24,3705.6,Approved,4703.32,4087.66,2023-06-23,8753
161,Brian_Hill,18,Male,Milwaukee,Current,570.37,2015-12-27,2023-11-21,3814.49,Closed,7430.25,1251.65,2023-02-04,2604
162,Joseph_Young,49,Male,Portland,Current,7582.2,2000-06-28,2023-12-10,3330.73,Closed,3950.7,2336.54,2023-06-05,5262
163,Kevin_Taylor,58,Male,San Francisco,Savings,4504.75,2020-12-27,2023-12-21,2242.9,Rejected,7817.04,4736.61,2023-11-11,9907
164,Mark_Wright,43,Male,Memphis,Savings,8459.53,2004-11-07,2023-05-02,2310.17,Rejected,4082.07,2888.99,2023-08-12,5930
165,Margaret_Torres,65,Female,Mesa,Current,3121.63,2000-01-08,2023-03-27,4197.15,Rejected,7833.65,3761.37,2023-03-01,9441
166,Richard_Jackson,26,Other,Atlanta,Current,7775.69,2017-02-05,2023-06-10,704.31,Closed,9602.15,3727.59,2023-08-23,3357
167,Emily_Baker,33,Other,Detroit,Savings,871.55,2015-10-25,2023-01-17,2615.12,Rejected,5537.35,1906.93,2023-08-29,7951
168,John_Lewis,48,Other,San Francisco,Current,6387.57,2011-03-24,2023-09-01,1556.64,Closed,5344.8,500.83,2023-07-10,5622
169,Lisa_Miller,19,Male,Washington,Savings,3669.96,2007-11-27,2023-09-25,4921.74,Closed,5360.21,1702.76,2023-12-19,9041
170,Betty_Ramirez,49,Other,Boston,Savings,2839.58,2020-08-29,2023-10-13,28.43,Rejected,9571.27,168.94,2023-12-17,3832
171,Mary_Rodriguez,27,Female,Los Angeles,Savings,8169.58,2018-06-24,2023-08-06,327.73,Approved,2433.47,1320.95,2023-03-05,5145
172,Carol_Ramirez,42,Male,Washington,Savings,614.03,2021-08-14,2023-01-06,4837.27,Approved,7662.66,181.43,2023-02-14,707
173,Brian_Garcia,35,Female,Phoenix,Current,9500.36,2010-04-13,2023-09-24,2723.52,Closed,7207.61,2097.76,2023-10-24,1802
174,Jennifer_Lewis,62,Male,Houston,Savings,7876.9,2002-08-30,2023-08-23,701.29,Closed,6691.97,45.09,2023-07-30,2157
175,Betty_Taylor,51,Male,Mesa,Savings,3620.53,2016-04-21,2023-05-04,2248.72,Rejected,7654.68,3803.42,2023-03-17,3765
176,Betty_Thomas,46,Other,Philadelphia,Current,9914.2,2018-08-07,2023-03-01,1620.06,Approved,3873.79,4815.27,2023-07-28,5527
177,Amanda_Thompson,62,Female,Nashville,Current,2104.64,2014-06-11,2023-01-10,4556.93,Rejected,9352.22,158.31,2023-09-30,6037
178,Amanda_Walker,41,Other,San Jose,Current,4083.9,2020-06-11,2023-01-16,3441.02,Approved,9170.27,2889.18,2023-09-17,8537
179,Sarah_Williams,20,Male,Atlanta,Savings,8860.31,2012-08-11,2023-03-25,661.29,Closed,3074.32,1352.26,2023-10-02,3858
180,Ashley_Lee,32,Female,Boston,Savings,9968.39,2006-05-15,2023-06-21,2686.86,Rejected,5629.23,2618.58,2023-07-15,2004
181,William_Sanchez,20,Female,Detroit,Savings,2467.22,2019-03-06,2023-05-27,680.96,Closed,3822.26,4715.61,2023-10-13,7071
182,Betty_Scott,48,Male,Colorado Springs,Current,7456.82,2009-05-31,2023-04-10,3329.5,Rejected,8116.98,3826.42,2023-02-16,9833
183,Matthew_Adams,27,Other,Oklahoma City,Current,3126.72,2015-06-23,2023-09-28,3638.86,Rejected,9102.64,3731.6,2023-02-14,7330
184,Joshua_Torres,55,Male,Tucson,Savings,7688.08,2019-04-12,2023-08-03,2815.18,Closed,5814.61,1467.03,2023-10-03,1138
185,Steven_Perez,39,Female,Columbus,Savings,1340.31,2013-09-11,2023-03-26,4830.12,Closed,3885.67,3982.37,2023-05-19,7290
186,James_Adams,31,Female,Mesa,Savings,3428.08,2015-09-28,2023-02-08,4722.23,Rejected,6808.84,512.42,2023-07-11,9002
187,Anthony_Lopez,26,Female,San Francisco,Current,842.5,2005-02-16,2023-01-05,1037.52,Approved,2281.89,3537.47,2023-09-01,8097
188,Richard_Adams,35,Male,Nashville,Current,4969.78,2001-01-31,2023-03-27,11.64,Rejected,5579.63,2020.83,2023-01-20,8657
